Política pública;Objetivo principal;Grupo;Fecha / Periodo;Resultado final;Evaluación;
Vicente López Digital;Instalar 270+ cámaras + Wi?Fi en plazas públicas;Seguridad / TIC;2007–2011;Instalado y operativo;Éxito: mejoró monitoreo y conectividad ;
Entubamiento arroyo Medrano, Villa Martelli;Prevenir inundaciones en zona oeste;Infraestructura / Ambiente;2011;Obra finalizada;Éxito: mitigó anegamientos recurrentes;
Escuelas y jardines (28 jardines, 70 escuelas);Expandir la infraestructura educativa en el distrito;Educación / Obras públicas;Hasta 2011;Construidos y funcionando;Éxito: aumentó matrícula escolar;
100?% calles asfaltadas;Asfaltado de la totalidad de calles del municipio;Movilidad / Infraestructura;2007–2011;Finalizado;Éxito: mejoró tránsito y calidad vial;
Nueva planta farmacéutica Roemmers?Pharma;Instalar planta de producción farmacéutica;Economía / Salud industrial;2001;Inaugurada;Éxito: generó inversión local;
Vial costero + puente Néstor Kirchner;Conectar Libertador con el camino costero;Urbanismo / Infraestructura;2011;Completado e inaugurado;Éxito: mejoró circulación costera;
Secretaría de Seguridad + Policía Municipal;Centralizar cámaras y crear fuerza propia;Seguridad ciudadana;2012–2013;Implementado;Éxito: consolidó seguridad local;
Compra irregular de camionetas (Hilux);Dotar de patrulleros al municipio;Gestión municipal;2014;Compra cuestionada;Fracaso/Escándalo: crítica pública;
Metrobús Norte;Sistema de transporte rápido entre Vicente?López y CABA;Transporte / Obra pública;Convenio 2014, inauguración 2015;Ejecutado;Éxito: premiado por planificación urbana;
Apoyo a comercios no esenciales (COVID?19);Subsidiar y eximir tasas a comercios afectados por cuarentena;Economía local / Subsidio;2020;Programa implementado;Éxito: alivió fuerte impacto económico;
Política ambiental – recolección de aceites;Recolectar aceites usados para biodiesel y donación a ONG local;Ambiente / Sustentabilidad;Desde 2011;Recolectados ~476.000?l, ONG beneficiada;Éxito: impacto ambiental y social;
Entubamiento Arroyo Medrano;Evitar inundaciones en Villa?Martelli;Infraestructura / Ambiente;2007–2011;Finalizado;Éxito – redujo anegamientos;
100?% calles asfaltadas;Asfaltado integral del distrito;Movilidad / Infraestructura;2007–2011;Completado;Éxito – mejor transitabilidad;
Planta farmacéutica Roemmers?Pharma;Instalación de planta de producción farmacéutica;Economía / Salud industrial;2001;Inaugurada;Éxito – atrajo inversión;
Vial costero + puente Néstor Kirchner;Conectar Av. Libertador con camino costero;Urbanismo / Infraestructura;2011;Inaugurado;Éxito – mejor circulación;
Apoyo a comercios no esenciales durante COVID?19;Subsidios y exención de tasas a pequeños comercios afectados por la cuarentena;Economía local / Subsidio;2020;Lanzado y aplicado;Éxito – alivio económico;
Recolección de aceites para biodiesel y ong;Recolectar aceites usados para reciclaje y donar fondos a ONG local;Ambiente / Sustentabilidad;Desde 2011;Continuado;Éxito – impacto ambiental/social;
Compra irregular de camionetas (Hilux);Dotar de vehículos para patrullaje;Seguridad / Gestión municipal;2014;Compra cuestionada;Fracaso – escándalo;
Presupuesto Participativo (ediciones de 2012 a 2016);Promover participación ciudadana en inversiones municipales;Participación Ciudadana;2012–2016;Implementado ininterrumpido;Positivo – creciente participación;
Plan de Costa 100?% Pública;Recuperar y mejorar accesos, veredas, rampas y seguridad en la costa;Urbanismo / Espacios públicos;2024–2025;Obras finalizadas/inauguradas;Éxito: mayor uso público y mejoras estructurales;
Archivo Histórico Digital;Digitalizar y poner a disposición documentos históricos del municipio;Cultura / Patrimonio;2023;Plataforma lanzada;Éxito: aumentó acceso comunitario a historia local;
Intensificación de política ambiental;Campañas y talleres para reducir uso de plásticos y fomentar sustentabilidad;Ambiente / Educación;2023–2024;Ejecución con entrega de bolsas;Éxito: conciencia ambiental creciente;
Creación del Instituto de Investigaciones Históricas;Investigar, difundir la historia y conservar patrimonio (Torre Ader);Cultura / Patrimonio;1970–2000;Institución consolidada;Éxito: múltiples actividades y publicaciones;
Sistema de monitoreo yCentralización de Cámaras;Unificar cámaras y botones de pánico bajo una nueva Secretaría de Seguridad;Seguridad / TIC;2012–2013;Sistema operativo;Éxito: mejor coordinación y respuesta;
Metrobus Norte;Implementar corredor rápido de colectivos entre jurisdicciones;Transporte público;2014–2015;Línea puesta en marcha;Éxito: reducción de tiempos y mejor movilidad;
Iniciativa “Más salud y educación”;Aumentar inversión educativa y sanitaria municipal (gestion Soledad Martínez);Social / Salud y Educación;2023–2024;Parcialmente ejecutada;Fracaso: se cuestiona por falta de resultados concretos;
Intensificación de política ambiental;Concientización ambiental en vecinos, entrega de bolsas reutilizables, recolección de aceite usado para biodiesel;Ambiente / Sustentabilidad;2011–2025;Modelo activo y replicable;Éxito: recolectados 476.274?l de aceite, impacto ambiental y social ;
Archivo Histórico Digital;Digitalizar documentos históricos y ponerlos accesibles online;Cultura / Patrimonio;2023;Plataforma lanzada;Éxito: aumento de acceso comunitario a patrimonio local;
Red de Bibliotecas Municipales (14 sucursales);Fortalecer la lectura y acceso cultural a través de red de bibliotecas públicas;Cultura / Educación;Desde 2000s;14 bibliotecas operativas;Éxito comprobado por vigencia y uso comunitario;
Plataforma de Datos Abiertos relanzada;Transparencia en gestión: ejecución presupuestaria y datos públicos;Transparencia / TIC;2025;Portal relanzado;Éxito: mejor visibilidad y participación ciudadana;
Monitoreo Índice de Progreso Social (IPS);Medir y mejorar indicadores sociales y ambientales en el municipio;Evaluación / Monitoreo;2020–2025;Informe realizado;Éxito: fortaleció toma de decisiones públicas;
Programa “VL Sustentable”: Compostaje comunitario;Habilitar composteras en plazas y puntos verdes;Ambiente / Gestión de residuos;2023–2025;Implementado;Éxito: múltiples composteras activas;
Puntos Verdes y reciclaje vecinal;Facilitar separación de residuos, reciclaje y disposición responsable;Ambiente / Residuos;2024;Red habilitada;Éxito: ampliación sostenida;
Bibliotecas + cultura: red cultural municipal;Expandir espacios culturales en barrios, con actividades diversas;Cultura / Comunidad;2015–2022;Red activa e integrada;Éxito: crecimiento constante de espacios y usuarios;
Bienestar animal: campañas y adopción responsable;Promover tenencia responsable y adopciones en diversidad de especies;Bienestar animal / Salud;Desde 2015;Programas consolidados;Éxito: continuidad y crecimiento de adopciones;
Restricción al estacionamiento para personas con discapacidad;Limitar espacios reservados y aplicar criterios técnicos de certificación para estacionamiento;Movilidad / Inclusión;Mayo?2025;Proyecto polémico;"Fracaso: excluye a personas con diagnóstico no técnico; crítica fuerte ";
Apropiación del patrimonio cultural (subsecretaría de Cultura);Control de marcas, dominios institucionales (“Lumiton”) por parte de exfuncionario;Cultura / Gestión pública;Mayo?2025;Desvinculación del funcionario;Fracaso/Escándalo: intento de privatización de patrimonio público;
Promesa de “Más salud y educación”;Aumentar servicios de salud y educación prometidos en campaña;Salud y Educación;2023–2024;Promesas no cumplidas;Fracaso: críticas por cierre de guardias y falta de impacto;
Gestión de barrios populares (Soledad Martínez);Urbanizar y atender necesidades de barrios populares;Urbanismo / Inclusión social;2023–2024;No urbanizado, carencias persistentes;Fracaso: falta de respuestas a hacinamiento y pobreza;
Campañas de prevención sanitaria (ej. dengue);Prevenir brotes en barrios vulnerables;Salud pública;Verano 2023–2024;Insuficiente intervención;Fracaso parcial: repuntes de dengue sin acciones efectivas;
Contratos irregulares / allanamientos (2016);Compra sin licitación de camionetas Hilux vinculadas a Concesionaria de la hermana del intendente;Seguridad / Transparencia;2014–2016;Investigación y polémica pública;Fracaso: señal de corrupción y falta de transparencia;
;;;;;;
Sin inauguración de escuelas municipales;Construir jardines, primarias y secundarias locales;Educación;2011–2021;Ningún establecimiento construido;Fracaso: durante 2 intendencias y media de Jorge Macri no se inauguró ni una escuela municipal, pese a demandas de vacantes Tiempo Argentino;
Vaciamiento de Centros de Atención Primaria de Salud (CAPS);Mantener atención en salud cerca del vecino;Salud pública;2023–2024;"4 CAPS cerrados; otros operan con personal mínimo";"Fracaso: desmantelamiento denunciado por Concejo Deliberante; atención médica reducida Tiempo Argentino";
Subejecución del presupuesto de viviendas sociales;Implementar vivienda social para barrios vulnerables;Vivienda / Urbanización;2022;Solo ejecutado el 36 % del presupuesto;"Fracaso: de $233 millones ARS, solo $84 millones invertidos; apenas unas 20 viviendas entregadas para más de 4 000 familias necesitadas Tiempo Argentino";
Presupuesto Participativo con recursos simbólicos;Empoderar vecinos para decidir sobre inversión barrial;Participación ciudadana;2023;Presupuesto simbólico (0,42 %);Fracaso: pocos recursos reales destinados, mientras la publicidad gastó tres veces más Zona Norte Visión;
Desigual distribución del presupuesto según zona del distrito;Brindar servicios equitativos a todo el municipio;Equidad / Presupuesto municipal;2025;70 % del presupuesto concentrado en zona acomodada;Fracaso: profundiza desigualdad entre sectores este y oeste del municipio Grupo La Provincia;
Incumplimiento de promesas de “Más salud y educación”;Fortalecer servicios sanitarios y educativos;Salud y Educación;2023–2024;Servicios reducidos o cerrados;"Fracaso: promesas incumplidas; cerraron guardias y se redujo la atención primaria Grupo La Provincia";
Construcciones descontroladas y urbanización deficiente;Modernizar infraestructura sin perder identidad barrial;Urbanismo / Medio ambiente;2020–2025;Más torres, menos planificación;Fracaso: quejas por sobreedificación, problemas en desagües y falta de planificación urbana real Grupo La Provincia;
Persecución laboral y precarización de empleados municipales;Reestructurar eficiencia interna del municipio;Gestión municipal / RRHH;2020–2022;Hostigamiento laboral, contratos precarios;Fracaso: empleados acusaron persecución, despidos, precarización y clima laboral hostil Prensa Obrera;
Despidos masivos como estrategia política del intendente García;Reorganizar o negociar puestos en el Concejo Deliberante;Gestión municipal / Política;2025;Más de 100 despidos;Fracaso: despidos tras derrota electoral eran utilizados como presión política;
Subejecución de viviendas sociales (persistente);Implementar plan de vivienda para familias necesitadas;Vivienda / Inclusión social;2019–2022;Solo se ejecutó el 36 % del presupuesto;"Fracaso: entre $233 M presupuestados, solo $84 M invertidos; quedaron miles de familias sin vivienda";
Cierre y debilitamiento de CAPS (Unidades de Atención Primarias);Mantener atención médica integral cerca del vecino;Salud pública;2023–2025;"4 CAPS cerrados; otros reducidos a enfermería o administración";Fracaso: vaciamiento denunciado por la oposición, con atención primaria muy limitada;
Aprobación masiva de excepciones edilicias al COU;Regularización y autorización de obras fuera de normas urbanísticas;Urbanismo;2011–2023;Más de 500 excepciones aprobadas;Fracaso: exacerbó la construcción de torres, redujo espacio verde y alteró identidad barrial;
Falta total de nuevas escuelas municipales;Construir escuelas propias para ampliar oferta educativa;Educación;2011–2021;Ninguna escuela municipal inaugurada;Fracaso: contrastando anteriores gestión del municipio que inauguró varias, esta gestión no inauguró ninguna;
Desidia estatal que culminó en muertes por incendio;Garantizar condiciones habitacionales seguras en barrios vulnerables;Infraestructura / Emergencia;may-25;Fallecieron 2 personas por instalaciones eléctricas precarias;Fracaso grave: las conexiones deficientes (agua, gas, electricidad) generaron tragedia y reflejan abandono estatal;
Demanda millonaria por derogación de ordenanza (Howard Johnson);Permitir construcción y operación de hotel de lujo;Urbanismo / Ordenamiento urbano;2009–2014;Demanda por USD 60 M contra el municipio;Fracaso judicial: se derogó la ordenanza, pero se enfrentó una demanda millonaria contra el municipio;
Destrucción de infraestructura escolar pública (riesgo y abandono);Garantizar espacios educativos adecuados;Educación / Infraestructura;Años recientes;Escuelas demolidas o en riesgo de hundimiento;Fracaso estructural: techos que se hunden, inhabilitación de espacios, traslado de alumnos, condiciones infrahumanas;
Distribución desigual de recursos entre zonas del municipio;Lograr equidad territorial en inversiones municipales;Equidad / Presupuesto;2023–2025;Concentración de gasto en zonas acomodadas;Fracaso: la concejala opositora denunció una marcada inequidad en asignación presupuestaria;
